#############################
#
# Español
#
#############################

#
# Home Page /application/views/scripts/index/index
#
language;Español
Index Title;¿Desea multiplicar sus reservaciones <em>gratis?</em>
Index Description;TripFab conecta a los viajeros directamente con las compañías de turismo. Regístrese gratis.
signin;Ingresar
Have an account;¿Tiene una cuenta?
home video; http://player.vimeo.com/video/33810469?title=0&byline=0&portrait=0
footer;TripFab es hermosamente diseñado en un paraíso tropical

#
# Login Page /application/views/scripts/session/login
#
Sign In Title;¡Ingresa a <em>tu cuenta!</em>
Sign In Description;Bienvenido de vuelta. Te queremos :)
No Account;No tengo una cuenta con Tripfab aún. <a href="/%s/signup">Obtener una cuenta.</a>
remember me;Recuérdame la próxima vez
forgot;¿Olvidó tu contraseña?
login error;Email o Contraseña Invalidos
password;Contraseña

#
# Login Page /application/views/scripts/session/signup
#
Register Title;Obtén tu <em>cuenta en Tripfab!</em>
Register Description;Estamos reclutando las mejores actividades, hoteles, tours y restaurantes alrededor del universo.
Already Account;¿Ya eres miembro en Tripfab? <a href="/%s/login">Ingrese ahora..</a>
company holder;Nombre de la Compañia
company name;Compañia
company description;Ingrese el nombre de su compañía
email holder;Correo Electrónico
email name;Correo Electrónico
email description;Ingrese su correo electrónico
phone holder;Número de Teléfono
phone code;(Area)
phone name;Teléfono
phone description;Ingrese su número de contacto
website name;Sitio Web
website description;Ingrese su dirección de internet
business hotel;Hoteles y Resorts
business activity;Tours y Actividades
business restaurant;Restaurantes y Cafes
business entertainment;Entretenimiento y Eventos
business name;Tipo de compañía
business description;Seleccione su tipo de compañía
country name;País
country description;Seleccione su país
